/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/llm_trace.rs:8 | INTERNAL | sem_os_policy::context_policy::PromptContextAssembly | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/llm_trace.rs:212 | INTERNAL | sem_os_policy::context_policy::assemble_prompt_context | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/llm_trace.rs:213 | INTERNAL | sem_os_policy::domain_pack:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/dsl_drafter.rs:7 | INTERNAL | sem_os_policy::state_simulation::StateSimulationResult | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/dsl_drafter.rs:183 | INTERNAL | sem_os_policy::state_simulation:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp_facade.rs:42 | INTERNAL | sem_os_policy::acp_projection::AcpProjectionEnvelope | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp_facade.rs:43 | INTERNAL | sem_os_policy::domain_pack:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/language_pack.rs:7 | INTERNAL | sem_os_policy::domain_pack::DomainPackManifest | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/language_pack.rs:7 | INTERNAL | sem_os_policy::domain_pack::DomainTransition | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/workbook_revision.rs:7 | INTERNAL | sem_os_policy::domain_pack::DomainPackManifest | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/audit_chain.rs:341 | INTERNAL | sem_os_policy::state_simulation:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp.rs:9 | INTERNAL | sem_os_policy::acp_projection:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp.rs:12 | INTERNAL | sem_os_policy::context_policy::assemble_prompt_context | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp.rs:12 | INTERNAL | sem_os_policy::context_policy::PromptContextAssembly | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp.rs:13 | INTERNAL | sem_os_policy::domain_pack:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/acp.rs:833 | INTERNAL | sem_os_policy::domain_pack:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/mutation_preflight.rs:9 | INTERNAL | sem_os_policy::domain_pack::DomainPackManifest | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/mutation_preflight.rs:10 | INTERNAL | sem_os_policy::state_simulation::StateSimulationResult | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/mutation_preflight.rs:144 | INTERNAL | sem_os_policy::domain_pack:: | ob-poc-boundary
/Users/adamtc007/Developer/ob-poc/rust/crates/ob-poc-boundary/src/mutation_preflight.rs:148 | INTERNAL | sem_os_policy::state_simulation:: | ob-poc-boundary
